experiment_id,experiment_type,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,first_half_direction_percent,second_half_direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps,sine_phase_offset
EX0605-101100,experiment_3,12,,456470,2026-06-05T10:11:00.734381,1,0,B01,baseline,,,,,,,,
EX0605-101100,experiment_3,12,,456470,2026-06-05T10:11:00.734381,2,1,ETO,pulse,0,0,0,250,P_end,,,
EX0605-101100,experiment_3,12,,456470,2026-06-05T10:11:00.734381,3,2,EIC,pulse,0,0,0,250,P_start,,,
EX0605-101100,experiment_3,12,,456470,2026-06-05T10:11:00.734381,4,3,EFF,pulse,0,0,0,250,P_mid,,,
