experiment_id,experiment_type,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,first_half_direction_percent,second_half_direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps,sine_phase_offset
EX0608-151558,experiment_3,1,,955067,2026-06-08T15:15:58.180388,1,0,B01,baseline,,,,,,,,
EX0608-151558,experiment_3,1,,955067,2026-06-08T15:15:58.180388,2,1,EIC,pulse,0,0,0,250,P_start,,,
EX0608-151558,experiment_3,1,,955067,2026-06-08T15:15:58.180388,3,2,EFF,pulse,0,0,0,250,P_mid,,,
EX0608-151558,experiment_3,1,,955067,2026-06-08T15:15:58.180388,4,3,ETO,pulse,0,0,0,250,P_end,,,
