experiment_id,experiment_type,subject_id,note,random_seed,created_at,order_index,block_index,condition_id,mode,direction_percent,first_half_direction_percent,second_half_direction_percent,pulse_duration_ms,pulse_phase,sine_amplitude_percent,sine_period_steps,sine_phase_offset
EX0623-114249,experiment_4,1,,165562,2026-06-23T11:42:49.204408,1,0,B01,baseline,,,,,,,,
EX0623-114249,experiment_4,1,,165562,2026-06-23T11:42:49.204408,2,1,GF,gait_follow,,,,250,P_mid,,,
EX0623-114249,experiment_4,1,,165562,2026-06-23T11:42:49.204408,3,2,ALT,alternating_stride,,,,0,,,,
